133.44586	41.950008	0
133.357022	41.840254	0
133.091674	41.512898	0
132.649445	40.974196	0
132.032404	40.233103	0
131.24177	39.302765	0
130.280672	38.199874	0
129.152822	36.942081	0
127.864688	35.551113	0
126.423162	34.048967	0
124.837415	32.459649	0
123.119957	30.807486	0
121.283617	29.118181	0
119.34329	27.41696	0
117.317052	25.72868	0
115.223242	24.077771	0
113.084334	22.48771	0
110.916868	20.978265	0
108.683956	19.568836	0
106.450106	18.325086	0
104.249503	17.258352	0
102.11681	16.372606	0
100.087166	15.66917	0
98.194967	15.143006	0
96.472278	14.785259	0
94.94777	14.584957	0
93.646723	14.529005	0
92.588853	14.603782	0
91.789897	14.797306	0
91.258973	15.098766	0
91		15.5		0
91.016581	15.977315	0
91.307759	16.507711	0
91.863359	17.089545	0
92.669334	17.721705	0
93.708885	18.403716	0
94.962455	19.135738	0
96.410273	19.92016	0
98.02881	20.758784	0
99.79448	21.65633	0
101.683963	22.617094	0
103.672828	23.645264	0
105.735687	24.745613	0
107.848903	25.921058	0
110.04555	27.182832	0
112.270182	28.471528	0
114.492378	29.776388	0
116.687015	31.087611	0
118.829447	32.392745	0
120.895821	33.678063	0
122.863613	34.927721	0
124.712362	36.125398	0
126.422456	37.255301	0
127.97614	38.29867	0
129.357724	39.240985	0
130.552313	40.066452	0
131.547981	40.761134	0
132.333863	41.314114	0
132.901371	41.716489	0
133.244303	41.960256	0
133.358949	42.041918	0
133.402405	41.995963	0
